CustomerID,Age,Gender,Region,MembershipGrade,MonthlyVisitCount,PurchaseAmount,PurchaseQty,ReviewScore,CouponUsed,PurchaseYN,DaysSinceLastPurchase,SignupDate
CUST0032,34,Male,Seoul,Bronze,8.0,788100.0,4,3.0,1,0,1,2019-12-16
CUST0033,33,Female,Seoul,Silver,12.0,230700.0,4,4.0,1,1,8,2024-10-19
CUST0034,29,Male,Gyeonggi,Bronze,3.0,15000.0,2,2.6,0,0,56,2022-11-26
CUST0035,44,Male,Busan,Gold,10.0,876500.0,2,3.9,1,1,4,2021-12-04
CUST0036,50,Male,Daejeon,VIP,17.0,278200.0,3,3.4,1,0,2,2024-11-23
CUST0037,37,Female,Seoul,Silver,9.0,226800.0,6,5.0,0,1,10,2021-07-03
CUST0038,29,Female,Gyeonggi,Silver,7.0,152900.0,2,5.0,0,0,45,2023-05-11
CUST0039,29,Female,Busan,Gold,13.0,291700.0,4,3.4,0,1,6,2020-07-20
CUST0040,45,Male,Gwangju,VIP,14.0,402200.0,7,4.5,1,1,34,2021-10-09
CUST0041,46,Male,Incheon,Silver,10.0,224400.0,5,3.3,1,1,33,2022-06-24
CUST0042,44,Female,Seoul,Gold,12.0,357300.0,5,3.9,0,1,8,2023-10-27
CUST0043,31,Female,Incheon,VIP,16.0,336800.0,4,5.0,0,1,15,2025-09-05
CUST0044,40,Female,Gyeonggi,Gold,12.0,172000.0,2,3.8,0,1,7,2021-03-08
CUST0045,39,Female,Gwangju,Silver,11.0,202900.0,4,3.8,1,0,6,2025-12-03
CUST0046,40,Female,Gyeonggi,Bronze,1.0,33300.0,1,3.2,1,0,34,2024-11-20
CUST0047,47,Male,Busan,Bronze,7.0,141900.0,1,4.5,0,0,76,2021-08-25
CUST0048,40,Male,Seoul,Silver,6.0,124200.0,4,1.8,1,1,15,2019-03-17
CUST0049,45,Female,Gyeonggi,Silver,13.0,296500.0,9,3.7,1,1,88,2020-03-04
CUST0050,39,Male,Daejeon,Silver,12.0,213700.0,3,3.9,0,1,13,2023-11-05
CUST0051,41,Female,Incheon,Silver,10.0,218200.0,6,3.5,1,1,22,2024-01-01
CUST0052,45,Female,Gyeonggi,Silver,18.0,371100.0,6,4.5,1,1,11,2023-06-14
CUST0053,23,Female,Gwangju,Gold,11.0,252900.0,3,4.9,0,0,4,2024-08-21
CUST0054,35,Female,Daejeon,Bronze,10.0,226500.0,3,2.9,0,0,1,2019-03-05
CUST0055,33,Female,Gyeonggi,Bronze,10.0,175100.0,4,5.0,0,1,55,2022-11-24
CUST0056,31,Female,Gyeonggi,Gold,11.0,341000.0,8,3.2,1,1,8,2025-07-08
CUST0057,35,Female,Gyeonggi,Gold,11.0,233200.0,8,5.0,1,1,66,2021-01-15
CUST0058,54,Female,Incheon,VIP,16.0,314700.0,8,4.4,0,1,13,2025-04-19
CUST0059,29,Male,Gyeonggi,Gold,14.0,201000.0,2,3.8,0,0,0,2019-05-16
CUST0060,48,Female,Seoul,Gold,14.0,305400.0,6,3.9,1,1,17,2025-03-14
CUST0061,20,Female,Daejeon,Bronze,5.0,142500.0,1,3.8,0,0,54,2024-12-10
CUST0062,34,Male,Gwangju,Silver,11.0,194200.0,4,4.1,0,1,22,2023-05-13
CUST0063,40,Male,Daejeon,Bronze,9.0,163500.0,4,3.2,1,1,40,2023-07-07
CUST0064,44,Female,Gwangju,Silver,6.0,124900.0,2,3.8,0,0,20,2025-07-09
CUST0065,45,Female,Busan,VIP,15.0,327100.0,3,3.9,0,1,5,2021-03-22
CUST0066,46,Male,Daegu,Silver,9.0,162900.0,3,3.2,0,1,11,2020-07-25
CUST0067,34,Male,Daegu,Silver,11.0,197100.0,4,3.4,0,0,21,2025-05-24
CUST0068,33,Male,Gyeonggi,Bronze,5.0,70000.0,4,3.1,0,0,48,2019-01-10
CUST0069,47,Male,Gyeonggi,Bronze,9.0,136500.0,2,3.5,1,1,3,2023-05-09
CUST0070,36,Female,Seoul,Bronze,4.0,152000.0,3,4.1,0,0,59,2020-08-02
CUST0071,25,Male,Incheon,Bronze,8.0,144800.0,2,3.9,0,0,1,2025-02-08
CUST0072,26,Male,Gyeonggi,VIP,17.0,331400.0,6,5.0,0,1,0,2025-10-17
CUST0073,28,Female,Seoul,Silver,,278400.0,4,2.5,1,0,6,2022-08-08
CUST0074,43,Male,Incheon,Gold,17.0,294900.0,4,4.4,1,0,28,2022-04-21
CUST0075,39,Male,Gyeonggi,Gold,12.0,286600.0,2,4.1,0,1,3,2022-08-02
CUST0076,45,Female,Seoul,Bronze,13.0,274000.0,3,4.3,0,1,58,2021-04-12
CUST0077,34,Female,Daegu,Bronze,11.0,210900.0,4,4.3,1,0,29,2025-08-08
CUST0078,40,Female,Daejeon,Gold,14.0,889400.0,3,4.0,1,1,4,2021-02-14
CUST0079,45,Female,Seoul,Bronze,14.0,358200.0,6,3.9,0,1,5,2025-08-01
CUST0080,35,Female,Seoul,VIP,15.0,383800.0,8,3.9,1,1,4,2023-01-12
CUST0081,43,Female,Gyeonggi,Bronze,10.0,198400.0,6,4.2,0,1,17,2025-01-23
CUST0082,31,Female,Daegu,Gold,18.0,383700.0,5,2.9,1,0,30,2023-04-24
CUST0083,34,Female,Daegu,Gold,12.0,286500.0,4,4.6,1,1,5,2024-03-08
CUST0084,34,Female,Seoul,Bronze,8.0,191600.0,1,,1,0,6,2022-06-13
CUST0085,25,Female,Daegu,Bronze,4.0,,2,3.5,0,0,20,2022-02-20
CUST0086,43,Female,Seoul,VIP,16.0,381900.0,7,4.2,1,0,1,2020-03-13
CUST0087,33,Male,Gyeonggi,Bronze,8.0,91200.0,2,3.7,0,0,69,2020-02-16
CUST0088,38,Female,Gwangju,Silver,14.0,326500.0,7,4.8,1,0,3,2019-11-10
CUST0089,43,Male,Seoul,Silver,13.0,227500.0,2,5.0,1,0,13,2021-09-24
CUST0090,43,Female,Seoul,Bronze,7.0,170300.0,4,4.6,1,1,20,2025-03-18
CUST0091,45,Female,Gyeonggi,Gold,14.0,257400.0,3,3.8,0,0,10,2025-02-27
CUST0092,37,Female,Incheon,Gold,18.0,356000.0,7,4.5,1,1,43,2023-11-22
CUST0093,34,Female,Gwangju,Silver,8.0,157000.0,5,4.4,0,0,9,2021-09-11
CUST0094,37,Male,Gwangju,Gold,10.0,258200.0,4,3.5,0,1,9,2022-11-10
CUST0095,20,Female,Seoul,Bronze,8.0,203600.0,2,3.0,0,0,20,2024-03-03
CUST0096,23,Female,Seoul,Bronze,14.0,204100.0,3,3.8,0,1,14,2019-05-18
CUST0097,24,Male,Daegu,Silver,10.0,218700.0,3,4.5,0,1,22,2025-02-21
CUST0098,28,Male,Seoul,VIP,13.0,319200.0,5,3.3,0,1,5,2025-06-10
CUST0099,42,Male,Daejeon,Bronze,12.0,179800.0,1,3.3,0,1,14,2025-02-01
CUST0100,28,Female,Busan,Bronze,6.0,40400.0,1,4.2,0,0,15,2019-01-24
CUST0101,34,Female,Seoul,Silver,7.0,144800.0,6,4.0,1,1,13,2025-07-07
CUST0102,52,Female,Daegu,Gold,8.0,144200.0,2,5.0,0,0,8,2023-12-17
CUST0103,34,Male,Seoul,Bronze,5.0,15000.0,1,2.9,0,0,19,2022-08-02
CUST0104,46,Female,Gyeonggi,Silver,7.0,235600.0,4,5.0,1,1,12,2020-10-02
CUST0105,28,Male,Incheon,Gold,13.0,307900.0,6,3.1,1,0,97,2022-10-26
CUST0106,36,Female,Gyeonggi,Silver,11.0,206700.0,3,2.6,0,0,49,2021-12-19
CUST0107,28,Male,Busan,Bronze,9.0,91500.0,4,3.8,1,1,5,2025-02-01
CUST0108,34,Female,Busan,Bronze,5.0,15400.0,1,3.1,0,1,7,2021-04-03
CUST0109,47,Female,,Silver,13.0,221400.0,2,3.9,0,1,2,2020-08-14
CUST0110,20,Female,Gwangju,Silver,6.0,205300.0,1,3.9,0,0,12,2025-10-20
CUST0111,43,Female,Gyeonggi,Gold,15.0,281200.0,6,4.0,0,1,16,2020-10-12
CUST0112,40,Male,Seoul,Silver,10.0,231800.0,3,3.4,0,1,16,2025-09-25
CUST0113,32,Male,Busan,Gold,13.0,260800.0,5,4.4,1,0,12,2025-04-19
CUST0114,23,Male,Gwangju,VIP,15.0,369800.0,8,4.2,1,0,54,2021-05-18
CUST0115,39,Male,Gyeonggi,Silver,11.0,247500.0,2,4.7,0,1,41,2023-01-09
CUST0116,32,Female,Gyeonggi,Silver,9.0,145500.0,1,3.8,0,0,52,2024-04-20
CUST0117,40,Female,Gyeonggi,VIP,15.0,297000.0,5,3.7,0,1,4,2022-02-25
CUST0118,38,Female,Seoul,Bronze,8.0,200600.0,2,2.7,0,1,4,2023-12-02
CUST0119,55,Female,Busan,Gold,13.0,271400.0,4,4.0,1,1,29,2019-02-21
CUST0120,35,Female,Gyeonggi,Gold,11.0,255800.0,1,3.3,1,0,3,2022-05-25
CUST0121,27,Female,Daegu,Bronze,8.0,112200.0,2,2.9,0,0,28,2022-11-13
CUST0122,40,Male,Daegu,Silver,7.0,201100.0,1,4.3,1,0,4,2022-12-22
CUST0123,40,Male,Daegu,Bronze,12.0,255500.0,6,2.6,1,1,17,2025-05-11
CUST0124,52,Female,Gyeonggi,Bronze,9.0,213300.0,5,4.7,1,1,1,2024-06-06
CUST0125,47,Female,Gyeonggi,Silver,10.0,208000.0,3,4.1,1,1,7,2023-07-23
CUST0126,42,Male,Busan,Bronze,11.0,221800.0,7,3.8,1,1,8,2021-10-09
CUST0127,53,Female,Daegu,Gold,12.0,249900.0,4,3.4,0,0,34,2021-10-22
CUST0128,26,Female,Gyeonggi,VIP,18.0,333400.0,4,4.8,0,1,3,2019-07-09
CUST0129,31,Male,Daejeon,Gold,15.0,316300.0,3,4.1,0,1,27,2022-05-12
CUST0130,28,Male,Seoul,Bronze,9.0,175000.0,4,3.4,1,0,7,2020-05-20
CUST0131,34,Female,Daejeon,Bronze,8.0,131100.0,6,3.9,1,0,19,2025-08-10
CUST0132,24,Female,Seoul,Bronze,8.0,66000.0,1,2.7,1,0,51,2024-11-23
CUST0133,45,Male,Seoul,Bronze,8.0,68500.0,2,2.7,0,1,32,2025-01-02
CUST0134,36,Female,Gyeonggi,VIP,17.0,400000.0,7,3.6,0,0,36,2025-10-01
CUST0135,23,Male,Seoul,Silver,5.0,61600.0,1,4.2,0,0,80,2021-06-03
CUST0136,27,Female,Seoul,Bronze,4.0,122100.0,3,3.8,1,0,10,2021-02-08
CUST0137,41,Male,Seoul,Gold,13.0,256700.0,3,4.8,0,1,65,2023-02-02
CUST0138,47,Female,Gyeonggi,Silver,12.0,240800.0,5,3.4,0,1,60,2022-05-11
CUST0139,59,Male,Daegu,Bronze,6.0,152900.0,3,4.2,1,1,22,2020-03-01
CUST0140,69,Male,Seoul,Bronze,3.0,426300.0,3,3.7,0,0,52,2023-02-22
CUST0141,42,Female,Busan,Silver,8.0,40700.0,1,3.3,1,0,0,2022-04-05
CUST0142,28,Male,Daegu,Gold,13.0,244400.0,3,4.4,1,1,16,2025-11-28
CUST0143,19,Male,Seoul,Bronze,6.0,122400.0,1,3.8,0,0,17,2020-09-24
CUST0144,41,Male,Seoul,VIP,15.0,390400.0,4,4.0,1,0,89,2022-03-20
CUST0145,29,Female,Daejeon,Gold,10.0,295800.0,4,4.1,0,1,7,2022-09-23
CUST0146,34,Female,Daegu,Gold,14.0,217700.0,4,4.0,0,0,17,2025-06-22
CUST0147,32,Female,Gyeonggi,Bronze,5.0,141800.0,6,3.7,1,1,10,2023-09-24
CUST0148,37,Male,Daegu,Bronze,11.0,124200.0,3,3.5,0,1,17,2019-03-16
CUST0149,49,Male,Seoul,Gold,13.0,,2,3.3,1,0,36,2021-01-18
CUST0150,40,Male,Gyeonggi,Bronze,5.0,176000.0,4,3.8,1,0,33,2025-04-14
CUST0151,36,Female,Busan,Silver,7.0,184200.0,4,3.4,0,1,2,2020-12-18
CUST0152,27,Female,Seoul,Gold,18.0,309000.0,2,3.4,0,0,1,2021-07-11
CUST0153,20,Female,Busan,Bronze,5.0,180000.0,3,3.6,1,1,30,2020-01-04
CUST0154,33,Female,Gyeonggi,Gold,12.0,365400.0,9,4.6,1,1,21,2024-12-27
CUST0155,37,Male,Busan,VIP,15.0,381600.0,5,4.5,1,1,15,2019-10-20
CUST0156,57,Female,Gyeonggi,Gold,8.0,207700.0,3,3.8,0,1,6,2021-07-20
CUST0157,39,Female,Gyeonggi,Silver,11.0,188800.0,2,3.6,1,1,0,2023-09-08
CUST0158,48,Male,Seoul,Gold,9.0,221700.0,2,4.5,0,0,34,2025-03-22
CUST0159,33,Male,Seoul,Silver,13.0,297300.0,5,2.4,1,1,21,2020-08-15
CUST0160,26,Male,Busan,Gold,13.0,238500.0,2,4.6,1,1,32,2021-11-03
CUST0161,28,Male,Seoul,Gold,12.0,230700.0,3,2.9,1,0,30,2019-06-27
CUST0162,30,Male,Seoul,Gold,9.0,260100.0,4,3.2,0,1,16,2022-01-28
CUST0163,60,Male,Seoul,Bronze,11.0,248400.0,2,3.5,0,1,11,2025-10-25
CUST0164,29,Female,Seoul,Bronze,7.0,131500.0,5,5.0,0,0,4,2021-09-14
CUST0165,47,Male,Daegu,Bronze,6.0,123400.0,3,4.9,1,0,18,2020-09-07
CUST0166,29,Male,Gyeonggi,Silver,,218200.0,2,4.4,1,1,14,2021-08-01
CUST0167,48,Female,Gwangju,Silver,9.0,214900.0,4,4.2,0,1,6,2025-02-21
CUST0168,42,Female,Seoul,Silver,15.0,300600.0,8,2.7,1,1,45,2022-02-25
CUST0169,36,Female,Busan,Silver,8.0,245100.0,2,4.1,1,1,24,2023-10-03
CUST0170,38,Male,Gyeonggi,Gold,12.0,263200.0,3,3.8,1,0,3,2024-11-20
CUST0171,31,Female,Gyeonggi,VIP,17.0,403300.0,7,3.8,1,1,58,2024-01-01
CUST0172,43,Male,Daejeon,Bronze,4.0,153400.0,1,3.9,0,0,27,2023-07-22
CUST0173,33,Male,Gwangju,Gold,8.0,176600.0,3,3.8,1,1,7,2022-07-01
CUST0174,25,Female,Daejeon,Gold,14.0,243800.0,1,4.7,1,1,64,2022-05-28
CUST0175,25,Female,Seoul,Silver,8.0,106400.0,2,2.7,0,0,14,2020-08-05
CUST0176,40,Female,Seoul,Bronze,4.0,90800.0,2,3.8,1,0,48,2021-11-12
CUST0177,55,Female,Busan,Gold,16.0,279000.0,7,3.5,1,1,22,2024-10-20
CUST0178,40,Female,Gyeonggi,VIP,24.0,580400.0,14,4.0,1,1,6,2019-02-24
CUST0179,37,Male,Busan,Gold,16.0,329100.0,5,4.3,0,1,28,2024-06-11
CUST0180,41,Male,Incheon,VIP,22.0,489400.0,12,3.5,1,1,7,2022-12-28
CUST0181,52,Male,Incheon,VIP,16.0,318300.0,3,4.5,1,0,9,2021-03-01
CUST0182,40,Male,Daegu,Silver,7.0,178500.0,2,3.8,0,0,13,2019-11-14
CUST0183,34,Female,Busan,Silver,10.0,147800.0,3,3.5,0,0,11,2024-06-28
CUST0184,50,Male,Seoul,Silver,13.0,276100.0,6,3.7,0,1,20,2019-07-08
CUST0185,43,Female,Seoul,VIP,20.0,371900.0,1,4.2,0,0,33,2022-04-15
CUST0186,54,Female,Incheon,Bronze,12.0,150600.0,5,3.3,0,1,12,2020-12-13
CUST0187,40,Female,Gyeonggi,Silver,13.0,303300.0,6,4.0,1,1,16,2025-07-12
CUST0188,25,Male,Seoul,Gold,12.0,179700.0,4,3.9,0,0,3,2020-07-22
CUST0189,24,Female,Gyeonggi,Bronze,12.0,197600.0,3,3.4,0,1,16,2024-06-15
CUST0190,55,Female,Busan,Gold,10.0,176100.0,4,5.0,0,1,5,2023-02-20
CUST0191,56,Female,Daegu,Silver,12.0,280600.0,3,4.2,0,1,9,2019-10-15
CUST0192,36,Female,Incheon,VIP,20.0,392900.0,9,4.0,1,1,9,2024-04-28
CUST0193,34,Female,Gyeonggi,Gold,10.0,174200.0,5,4.2,1,0,17,2025-03-14
CUST0194,53,Female,Seoul,Bronze,7.0,,2,3.1,0,1,32,2020-10-23
CUST0195,26,Male,Gyeonggi,Gold,11.0,273100.0,8,3.8,1,1,14,2025-03-18
CUST0196,29,Female,Gyeonggi,Bronze,9.0,131800.0,5,3.6,1,0,2,2024-09-23
CUST0197,45,Male,Incheon,Silver,9.0,189100.0,1,3.1,1,1,59,2024-06-25
CUST0198,34,Female,Busan,Silver,12.0,155400.0,4,4.2,1,1,5,2021-10-07
CUST0199,38,Female,Seoul,Gold,11.0,201000.0,4,3.8,1,1,13,2019-01-09
CUST0200,36,Female,Seoul,Bronze,8.0,135300.0,3,3.6,1,0,67,2022-10-09
CUST0201,42,Male,Seoul,Bronze,7.0,173700.0,3,3.4,0,1,61,2024-03-14
CUST0202,53,Male,Daejeon,Gold,12.0,311400.0,4,5.0,1,0,19,2023-11-14
CUST0203,39,Female,Incheon,Silver,23.0,457300.0,7,3.4,1,1,27,2023-05-01
CUST0204,45,Male,Seoul,Silver,17.0,329600.0,7,2.6,1,1,41,2024-01-26
CUST0205,19,Male,Daejeon,Bronze,7.0,38100.0,3,2.8,0,0,10,2021-06-25
CUST0206,37,Male,Gyeonggi,Silver,9.0,176400.0,1,4.5,0,1,27,2019-01-17
CUST0207,29,Male,Gyeonggi,Gold,11.0,,3,5.0,0,1,7,2025-04-09
CUST0208,25,Male,Gwangju,Bronze,11.0,260300.0,4,3.4,1,1,30,2023-09-24
CUST0209,29,Female,Seoul,Silver,12.0,262900.0,5,4.8,0,1,11,2022-07-08
CUST0210,34,Male,Seoul,VIP,17.0,335500.0,8,4.8,0,1,7,2023-09-09
CUST0211,48,Male,Incheon,Bronze,9.0,172900.0,5,3.7,1,0,39,2024-11-28
CUST0212,24,Male,Seoul,Gold,8.0,292700.0,5,4.0,0,0,4,2024-06-26
CUST0213,38,Male,Busan,Bronze,10.0,102000.0,1,3.9,1,1,23,2023-07-17
CUST0214,33,Male,Seoul,Gold,13.0,232800.0,5,4.7,1,1,0,2024-01-05
CUST0215,35,Female,Seoul,Gold,15.0,315600.0,3,4.4,0,1,14,2021-04-04
CUST0216,49,Male,Seoul,Gold,14.0,268400.0,5,3.7,0,0,44,2023-09-27
CUST0217,44,Male,Gyeonggi,Bronze,11.0,128900.0,2,3.7,0,0,36,2025-01-08
CUST0218,52,Male,Seoul,Silver,9.0,258700.0,4,5.0,0,1,16,2020-05-20
CUST0219,36,Male,Seoul,Gold,15.0,336900.0,6,4.3,1,1,10,2022-02-10
CUST0220,31,Male,Daejeon,Bronze,5.0,94500.0,2,4.4,1,0,12,2023-11-14
CUST0221,36,Male,Gyeonggi,Bronze,10.0,152400.0,5,4.2,0,1,4,2022-07-28
CUST0222,41,Female,Gyeonggi,Bronze,12.0,288500.0,3,4.0,0,0,1,2025-08-17
CUST0223,40,Male,Seoul,VIP,14.0,331000.0,6,,1,1,8,2021-09-13
CUST0224,27,Female,Gyeonggi,Gold,17.0,371200.0,4,4.7,0,1,4,2020-03-12
CUST0225,39,Female,Seoul,Silver,12.0,269500.0,4,4.4,0,1,29,2019-01-07
CUST0226,40,Male,Incheon,Gold,13.0,236100.0,3,4.3,1,0,0,2024-05-16
CUST0227,64,Male,Seoul,Silver,8.0,126000.0,1,3.5,0,0,37,2023-03-16
CUST0228,58,Female,Daejeon,Silver,7.0,237200.0,4,,1,0,7,2023-04-03
CUST0229,29,Female,Gwangju,Silver,12.0,334900.0,7,3.9,1,1,43,2022-04-12
CUST0230,35,Male,Seoul,Silver,10.0,105200.0,2,3.8,0,1,27,2021-10-19
CUST0231,23,Male,Seoul,Bronze,7.0,151600.0,2,5.0,0,1,7,2025-04-02
CUST0232,32,Male,Seoul,Gold,9.0,184400.0,2,3.1,0,0,23,2023-02-28
CUST0233,41,Female,Incheon,Gold,10.0,200100.0,5,4.7,1,1,88,2025-12-25
CUST0234,51,Female,Seoul,Silver,11.0,249000.0,5,3.4,1,1,12,2024-01-18
CUST0235,30,Male,Daejeon,Silver,5.0,64800.0,2,4.0,0,1,15,2024-03-01
CUST0236,31,Male,Busan,Bronze,10.0,164900.0,3,5.0,1,0,27,2022-05-15
CUST0237,19,Female,Daegu,VIP,14.0,264000.0,3,3.7,1,0,32,2020-01-26
CUST0238,36,Male,Gyeonggi,VIP,13.0,275500.0,4,3.9,1,1,17,2023-11-01
CUST0239,27,Male,,VIP,19.0,396000.0,7,4.3,0,1,1,2024-05-23
CUST0240,32,Female,Seoul,Bronze,11.0,170300.0,5,,0,1,0,2022-10-24
CUST0241,29,Male,Gyeonggi,Bronze,6.0,189100.0,2,4.4,1,1,64,2019-02-03
CUST0242,37,Male,Gyeonggi,Bronze,16.0,273200.0,3,3.4,0,1,18,2025-07-07
CUST0243,20,Male,Gwangju,Bronze,10.0,241400.0,2,4.2,0,0,8,2024-02-21
CUST0244,23,Female,Incheon,Bronze,5.0,96800.0,2,2.9,0,0,25,2021-03-26
CUST0245,60,Male,Daegu,Bronze,9.0,126000.0,1,2.6,1,0,17,2022-05-22
CUST0246,24,Male,Seoul,VIP,14.0,352900.0,2,4.2,0,0,1,2019-11-15
CUST0247,26,Male,Gwangju,Bronze,10.0,160200.0,3,2.8,1,1,2,2025-04-17
CUST0248,57,Male,Gyeonggi,Bronze,14.0,250000.0,5,4.8,1,1,10,2020-10-15
CUST0249,69,Female,Gyeonggi,Gold,18.0,362200.0,4,3.1,1,1,91,2021-02-17
CUST0250,26,Male,Gwangju,Silver,10.0,132000.0,2,3.3,0,1,9,2021-04-22
CUST0251,34,Female,Gyeonggi,Gold,10.0,273400.0,5,4.4,1,0,22,2020-08-02
CUST0252,42,Female,Gyeonggi,Silver,,227000.0,3,3.6,1,1,1,2023-06-06
CUST0253,56,Female,Incheon,Gold,13.0,322800.0,4,3.1,1,1,9,2025-07-02
CUST0254,28,Male,Seoul,Silver,8.0,219400.0,4,5.0,0,1,10,2024-09-23
CUST0255,35,Female,Gyeonggi,Silver,19.0,427100.0,8,3.2,1,1,26,2022-01-21
CUST0256,46,Female,,Gold,8.0,218400.0,6,4.0,0,0,7,2019-09-02
CUST0257,43,Male,Seoul,Silver,12.0,218800.0,6,3.8,0,0,55,2025-11-03
CUST0258,34,Female,Daejeon,Silver,9.0,278600.0,3,4.4,1,1,3,2020-10-08
CUST0259,37,Female,Incheon,Silver,9.0,107400.0,2,4.3,0,0,45,2025-04-07
CUST0260,24,Male,Gyeonggi,Bronze,6.0,86100.0,4,3.3,1,1,7,2021-05-15
CUST0261,35,Female,Gyeonggi,Gold,13.0,274700.0,3,3.9,0,1,43,2022-12-14
CUST0262,35,Male,Gyeonggi,Bronze,7.0,196700.0,2,3.7,0,0,16,2022-10-11
CUST0263,40,Female,Incheon,Bronze,11.0,205000.0,3,4.3,1,0,103,2022-12-05
CUST0264,32,Female,Gwangju,Bronze,7.0,182000.0,3,3.0,0,0,4,2020-11-19
CUST0265,43,Male,Gwangju,Gold,13.0,197200.0,5,5.0,1,1,21,2022-06-23
CUST0266,49,Female,Gyeonggi,Bronze,11.0,192000.0,5,3.3,0,0,78,2021-02-18
CUST0267,40,Male,Gyeonggi,Gold,9.0,140800.0,4,4.1,1,0,18,2024-03-23
CUST0268,42,Female,Gyeonggi,Gold,12.0,278300.0,3,3.4,1,0,62,2022-04-26
CUST0269,39,Female,Incheon,Bronze,4.0,15000.0,1,3.0,0,0,11,2025-11-24
CUST0270,38,Male,Gyeonggi,Gold,17.0,293300.0,7,3.5,0,1,9,2021-04-19
CUST0271,30,Male,Busan,Bronze,11.0,207100.0,2,3.2,1,0,8,2021-05-02
CUST0272,41,Male,Incheon,Bronze,10.0,229100.0,3,3.5,1,1,17,2019-11-10
CUST0273,37,Male,Gyeonggi,Gold,11.0,276800.0,8,3.5,0,1,11,2024-02-12
CUST0274,60,Male,Gyeonggi,VIP,11.0,322900.0,7,4.8,0,1,1,2019-08-20
CUST0275,55,Male,Gyeonggi,Bronze,4.0,143600.0,4,3.3,1,1,30,2020-07-24
CUST0276,42,Male,Seoul,Silver,11.0,187500.0,2,3.4,0,1,10,2025-12-18
CUST0277,30,Male,Seoul,Bronze,9.0,114500.0,2,3.5,1,1,65,2023-06-11
CUST0278,26,Female,Busan,Silver,11.0,273200.0,6,4.6,1,1,7,2022-07-23
CUST0279,51,Female,Gyeonggi,Silver,7.0,160800.0,1,4.1,0,0,33,2024-11-20
CUST0280,41,Female,Seoul,Silver,10.0,290500.0,8,3.9,0,0,17,2024-12-23
CUST0281,43,Male,Incheon,Silver,12.0,240600.0,3,,1,0,48,2025-09-17
CUST0282,20,Female,Busan,Bronze,9.0,534500.0,3,3.1,0,0,5,2023-09-19
